target,holdout,D,train_accuracy,valid_accuracy,test_accuracy,train_macro_f1,valid_macro_f1,test_macro_f1,test_balanced_accuracy,explained_variance,classification_valid,unseen_test_classes,bytes_per_vector,KB_per_vector,original_bytes_per_vector,dimension_reduction_pct,compression_ratio,relative_memory_cost,relative_compute_cost,compute_reduction_pct,relative_similarity_cost,relative_transfer_cost,storage_10000_GB,storage_10000_TB,storage_saved_10000_GB,storage_saved_10000_TB,storage_100000_GB,storage_100000_TB,storage_saved_100000_GB,storage_saved_100000_TB,storage_1000000_GB,storage_1000000_TB,storage_saved_1000000_GB,storage_saved_1000000_TB,storage_10000000_GB,storage_10000000_TB,storage_saved_10000000_GB,storage_saved_10000000_TB,storage_100000000_GB,storage_100000000_TB,storage_saved_100000000_GB,storage_saved_100000000_TB,normalized_storage_cost,normalized_memory_cost,normalized_compute_cost,normalized_similarity_cost,normalized_transfer_cost,normalized_total_cost_index,total_cost_reduction_pct,test_accuracy_baseline,test_accuracy_retention,test_macro_f1_baseline,test_macro_f1_retention,test_balanced_accuracy_baseline,test_balanced_accuracy_retention
class_label,superfamily_holdout,128,0.9207277452891488,0.8464673913043478,0.8556618819776715,0.8707561970958332,0.7836927546891151,0.761816498964139,0.7321699453618147,0.8901831,True,0,512,0.512,5120,90.0,10.0,0.1,0.1,90.0,0.1,0.1,0.00512,5.12e-06,0.04608,4.608e-05,0.0512,5.12e-05,0.4608,0.0004608,0.512,0.000512,4.608,0.004608,5.12,0.00512,46.08,0.04608,51.2,0.0512,460.8,0.4608,0.1,0.1,0.1,0.1,0.1,0.1,90.0,0.9282296650717703,0.9218213058419245,0.8717741099106132,0.8738691483304676,0.8378453525403395,0.8738724194648595
class_label,superfamily_holdout,256,0.9498862897985705,0.8899456521739131,0.9027113237639554,0.9135623620688517,0.8302145334429731,0.8572197513827674,0.8215042101880771,0.9395798,True,0,1024,1.024,5120,80.0,5.0,0.2,0.2,80.0,0.2,0.2,0.01024,1.024e-05,0.04096,4.096e-05,0.1024,0.0001024,0.4096,0.0004096,1.024,0.001024,4.096,0.004096,10.24,0.01024,40.96,0.04096,102.4,0.1024,409.6,0.4096,0.2,0.2,0.2,0.2,0.2,0.2,80.0,0.9282296650717703,0.9725085910652922,0.8717741099106132,0.983304897034235,0.8378453525403395,0.980496230834585
class_label,superfamily_holdout,512,0.9636939571150097,0.9035326086956522,0.9218500797448166,0.9361460378095504,0.8393714539056153,0.8767790996081953,0.8385805684978435,0.9767876,True,0,2048,2.048,5120,60.0,2.5,0.4,0.4,60.0,0.4,0.4,0.02048,2.048e-05,0.03072,3.072e-05,0.2048,0.0002048,0.3072,0.0003072,2.048,0.002048,3.072,0.003072,20.48,0.02048,30.72,0.03072,204.8,0.2048,307.2,0.3072,0.4,0.4,0.4,0.4,0.4,0.4,60.0,0.9282296650717703,0.993127147766323,0.8717741099106132,1.0057411543204642,0.8378453525403395,1.0008775079497365
class_label,superfamily_holdout,768,0.9678362573099415,0.907608695652174,0.9250398724082934,0.9432713939723835,0.8471479237830405,0.88180747567396,0.8533686387779115,0.9909389,True,0,3072,3.072,5120,40.0,1.6666666666666667,0.6,0.6,40.0,0.6,0.6,0.03072,3.072e-05,0.02048,2.048e-05,0.3072,0.0003072,0.2048,0.0002048,3.072,0.003072,2.048,0.002048,30.72,0.03072,20.48,0.02048,307.2,0.3072,204.8,0.2048,0.6,0.6,0.6,0.6,0.6,0.6,40.0,0.9282296650717703,0.9965635738831615,0.8717741099106132,1.0115091348197707,0.8378453525403395,1.0185276270740244
class_label,superfamily_holdout,1024,0.9705165692007798,0.907608695652174,0.9266347687400319,0.9458433723014685,0.8472127135198171,0.8828924685130285,0.8543210197302924,0.99726164,True,0,4096,4.096,5120,19.999999999999996,1.25,0.8,0.8,19.999999999999996,0.8,0.8,0.04096,4.096e-05,0.01024,1.024e-05,0.4096,0.0004096,0.1024,0.0001024,4.096,0.004096,1.024,0.001024,40.96,0.04096,10.24,0.01024,409.6,0.4096,102.4,0.1024,0.8,0.8,0.8,0.8,0.8,0.8,19.999999999999996,0.9282296650717703,0.9982817869415809,0.8717741099106132,1.0127537150690966,0.8378453525403395,1.019664329628372
class_label,superfamily_holdout,1280,0.9712475633528265,0.90625,0.9282296650717703,0.9466635710595233,0.846342462838952,0.8717741099106132,0.8378453525403395,0.9999999,True,0,5120,5.12,5120,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0512,5.12e-05,0.0,0.0,0.512,0.000512,0.0,0.0,5.12,0.00512,0.0,0.0,51.2,0.0512,0.0,0.0,512.0,0.512,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9282296650717703,1.0,0.8717741099106132,1.0,0.8378453525403395,1.0
class_label,fold_holdout,32,0.8003573749187785,0.7391304347826086,0.7855153203342619,0.6874746553002062,0.6394871861060263,0.7690878859721949,0.7520740999356693,0.76713604,True,0,128,0.128,5120,97.5,40.0,0.025,0.025,97.5,0.025,0.025,0.00128,1.28e-06,0.04992,4.992e-05,0.0128,1.28e-05,0.4992,0.0004992,0.128,0.000128,4.992,0.004992,1.28,0.00128,49.92,0.04992,12.8,0.0128,499.2,0.4992,0.025,0.025,0.025,0.025,0.025,0.025,97.5,0.8871866295264624,0.8854003139717426,0.7599801810802995,1.0119841347427625,0.8839587971679705,0.8508022119867649
class_label,fold_holdout,64,0.8571312540610786,0.7866847826086957,0.8105849582172702,0.7846530769476876,0.7116292874902054,0.6997427657184963,0.8196066855456311,0.83210516,True,0,256,0.256,5120,95.0,20.0,0.05,0.05,95.0,0.05,0.05,0.00256,2.56e-06,0.04864,4.864e-05,0.0256,2.56e-05,0.4864,0.0004864,0.256,0.000256,4.864,0.004864,2.56,0.00256,48.64,0.04864,25.6,0.0256,486.4,0.4864,0.05,0.05,0.05,0.05,0.05,0.05,95.0,0.8871866295264624,0.9136577708006278,0.7599801810802995,0.9207381759927256,0.8839587971679705,0.927200100470168
class_label,fold_holdout,128,0.9207277452891488,0.8464673913043478,0.8662952646239555,0.8707561970958332,0.7836927546891151,0.7440393202708935,0.8728424791017528,0.8901831,True,0,512,0.512,5120,90.0,10.0,0.1,0.1,90.0,0.1,0.1,0.00512,5.12e-06,0.04608,4.608e-05,0.0512,5.12e-05,0.4608,0.0004608,0.512,0.000512,4.608,0.004608,5.12,0.00512,46.08,0.04608,51.2,0.0512,460.8,0.4608,0.1,0.1,0.1,0.1,0.1,0.1,90.0,0.8871866295264624,0.9764521193092621,0.7599801810802995,0.9790246361599241,0.8839587971679705,0.9874243934198832
class_label,fold_holdout,256,0.9498862897985705,0.8899456521739131,0.8774373259052924,0.9135623620688517,0.8302145334429731,0.7538833724221015,0.8806033244618825,0.9395798,True,0,1024,1.024,5120,80.0,5.0,0.2,0.2,80.0,0.2,0.2,0.01024,1.024e-05,0.04096,4.096e-05,0.1024,0.0001024,0.4096,0.0004096,1.024,0.001024,4.096,0.004096,10.24,0.01024,40.96,0.04096,102.4,0.1024,409.6,0.4096,0.2,0.2,0.2,0.2,0.2,0.2,80.0,0.8871866295264624,0.9890109890109889,0.7599801810802995,0.9919776741420657,0.8839587971679705,0.9962040394678594
